Incidents of Assault occurring during Weekends Nights on Residential Premises from January 2009 to December 2018,,,,,,,,,,,,,,,,,,,,,
,To December 2018,Year to December 2009,,Year to December 2010,,Year to December 2011,,Year to December 2012,,Year to December 2013,,Year to December 2014,,Year to December 2015,,Year to December 2016,,Year to December 2017,,Year to December 2018,
LGA,Trend: 10 year,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate,Count,Rate
New South Wales,Down 2.9% per year,10022,153.7,9699,146.9,9573,143.5,9247,126.5,9349,126.2,9328,124.1,9040,118.5,8968,115.9,8935,115.5,9117,117.8
Armidale Regional,n.c.,48,n.c.,64,n.c.,63,n.c.,90,301.5,61,203.4,58,192.7,49,162.2,63,207.8,53,174.9,57,188.1
Canada Bay,Down 6.0% per year,47,62.4,39,50.2,32,40.0,29,35.1,35,40.9,45,50.8,27,29.9,35,37.9,50,54.1,33,35.7
Central Coast,n.c.,551,n.c.,498,n.c.,462,n.c.,460,141.5,427,130.4,489,148.3,499,150.1,582,173.6,510,152.1,575,171.5
Albury,Stable,112,229.4,84,170.7,80,161.8,95,190.8,120,238.3,100,196.0,76,147.5,95,182.1,128,245.4,115,220.5
Ballina,Down 6.5% per year,69,171.2,62,152.8,74,181.6,53,129.1,37,89.4,58,139.1,27,64.2,39,91.5,34,79.8,40,93.8
Balranald,n.c.,10,n.c.,5,n.c.,15,n.c.,7,n.c.,6,n.c.,6,n.c.,6,n.c.,3,n.c.,7,n.c.,5,n.c.
Bathurst Regional,Down 2.6% per year,84,216.2,70,177.3,88,220.2,58,143.8,67,164.2,84,203.5,70,167.3,45,106.2,68,160.4,72,169.9
Bayside,n.c.,124,n.c.,123,n.c.,122,n.c.,124,83.7,120,79.2,129,83.1,120,75.2,153,92.8,164,99.5,167,101.3
Bega Valley,Down 8.2% per year,50,153.3,45,136.5,43,129.8,61,183.2,47,140.5,26,77.4,52,154.1,41,120.8,41,120.8,24,70.7
Bellingen,n.c.,8,62.3,13,100.8,11,85.1,9,69.8,10,77.5,7,54.3,11,85.3,11,85.3,7,54.3,12,93.1
Berrigan,n.c.,11,132.8,6,72.4,12,144.6,8,95.7,9,106.8,4,47.0,4,46.8,6,70.0,1,11.7,12,140.0
Blacktown,Down 3.1% per year,676,225.7,609,198.6,646,206.8,600,188.8,573,176.5,616,185.7,552,162.7,582,167.4,578,166.3,592,170.3
Bland,n.c.,8,131.1,12,198.4,7,116.3,6,99.4,8,132.6,8,132.4,8,132.5,9,149.2,5,82.9,4,66.3
Blayney,n.c.,8,113.6,5,70.0,8,110.8,5,68.6,8,109.1,7,95.0,9,121.8,9,121.3,18,242.7,8,107.8
Blue Mountains,Stable,91,116.9,81,103.5,97,123.5,73,93.0,93,118.2,79,100.2,83,105.3,71,90.2,99,125.8,64,81.3
Bogan,n.c.,10,n.c.,8,265.5,8,265.9,12,n.c.,12,n.c.,14,n.c.,6,n.c.,5,n.c.,3,n.c.,1,n.c.
Bourke,n.c.,45,1493.5,53,1747.4,34,1113.7,36,1198.0,45,n.c.,45,n.c.,48,n.c.,25,n.c.,27,n.c.,38,n.c.
Brewarrina,n.c.,23,n.c.,18,n.c.,23,n.c.,27,n.c.,31,n.c.,26,n.c.,19,n.c.,18,n.c.,13,n.c.,10,n.c.
Broken Hill,Stable,87,448.0,71,368.5,88,459.5,69,363.6,74,394.2,63,338.9,70,382.4,51,282.9,70,388.3,61,338.4
